film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
03:06,David Wojnarowicz,The Manhattan Love Suicides: Stray Dogs (1985),4′,Wojnarowicz-David_Stray-Dogs_1985.m4v,https://player.vimeo.com/video/135115305,http://ubuvideo.memoryoftheworld.org/Wojnarowicz-David_Stray-Dogs_1985.m4v
03:11,Eugene Deslaw,Montparnasse (1929),15′,Deslaw-Eugene_Montparnasse_1929.mp4,https://player.vimeo.com/video/134065356,http://ubuvideo.memoryoftheworld.org/Deslaw-Eugene_Montparnasse_1929.mp4
03:26,Abigail Child,,3′,Child-Abigail_Perils_1986.mp4,https://player.vimeo.com/video/133732503,http://ubuvideo.memoryoftheworld.org/Child-Abigail_Perils_1986.mp4
03:30,Salvador Dalí,Escarxofes tendres,23′′,Dali-Salvador_Ads_Escarxofes-tendres.mp4,https://player.vimeo.com/video/124374055,http://ubuvideo.memoryoftheworld.org/Dali-Salvador_Ads_Escarxofes-tendres.mp4
03:30,Irene Moon,,2′,Moon-Irene_Terrorstic-Entomology_1998.mp4,https://player.vimeo.com/video/128596569,http://ubuvideo.memoryoftheworld.org/Moon-Irene_Terrorstic-Entomology_1998.mp4
03:33,Walerian Borowczyk,,9′,Borowczyk-Walerian_Lamour-Monstre-De-Tous-Les-Temps-.mp4,https://player.vimeo.com/video/123574741,http://ubuvideo.memoryoftheworld.org/Borowczyk-Walerian_Lamour-Monstre-De-Tous-Les-Temps-.mp4
03:42,Peter Rose,,3′,Rose-Peter_Genesis.mp4,https://player.vimeo.com/video/129670334,http://ubuvideo.memoryoftheworld.org/Rose-Peter_Genesis.mp4
03:46,Olivier Assayas,Olivier Assayas - Sans titre AKA Man Yuk: A Portrait of Maggie Cheung  (1997),4′,Assayas-Olivier_Sans_Titre_Man-Yuk_Maggie-Cheung_1997.mp4,https://player.vimeo.com/video/122681902,http://ubuvideo.memoryoftheworld.org/Assayas-Olivier_Sans_Titre_Man-Yuk_Maggie-Cheung_1997.mp4
03:51,Peter Rose,,13′,Rose-Peter_The-Indeserian-Tablets.mp4,https://player.vimeo.com/video/129670833,http://ubuvideo.memoryoftheworld.org/Rose-Peter_The-Indeserian-Tablets.mp4
04:04,Irene Moon,,12′,Moon-Irene_Court-of-Common-Pleas.mp4,https://player.vimeo.com/video/128596020,http://ubuvideo.memoryoftheworld.org/Moon-Irene_Court-of-Common-Pleas.mp4
04:17,Hamlet Hovsepian,Thinker,6′,Hovsepian_Hamlet_Thinker_1975-6.mp4,https://player.vimeo.com/video/126874751,http://ubuvideo.memoryoftheworld.org/Hovsepian_Hamlet_Thinker_1975-6.mp4
04:24,People Like Us (Vicki Bennett),Free Rod MckMoon from Consequences (One Thing Leads To Another) (2013),8′,People-Like-Us_MckMoon_2013.mp4,https://player.vimeo.com/video/135109465,http://ubuvideo.memoryoftheworld.org/People-Like-Us_MckMoon_2013.mp4
04:32,Rainer Ganahl,The Ego and the Id (2002),5′,Ganahl-RainerFreud.mp4,https://player.vimeo.com/video/134067675,http://ubuvideo.memoryoftheworld.org/Ganahl-RainerFreud.mp4
04:37,Hans Ulrich Obrist,Arkipelag TV (2000),16′,Obrist-Hans-Ulrich_ArkipelagTV.mp4,https://player.vimeo.com/video/132272973,http://ubuvideo.memoryoftheworld.org/Obrist-Hans-Ulrich_ArkipelagTV.mp4
04:53,Stan VanDerBeek,,9′,vanderbeek_stan_sciencefriction1959.mp4,https://player.vimeo.com/video/132274947,http://ubuvideo.memoryoftheworld.org/vanderbeek_stan_sciencefriction1959.mp4
05:03,MarieVic,Blowing Riccardo (Jet) (2015),2′,mv_BlowingRiccardo_747.mov,https://player.vimeo.com/video/238002296,http://ubuvideo.memoryoftheworld.org/mv_BlowingRiccardo_747.mov
05:06,Keith Sanborn,The Artwork in the Age of its Mechanical Reproducibility by Walter Benjamin as told to Keith Sanborn (1936/1996),3′,Sanborn_Keith_TheArtwork_1936.mp4,https://player.vimeo.com/video/129723112,http://ubuvideo.memoryoftheworld.org/Sanborn_Keith_TheArtwork_1936.mp4
